Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,EMA_9,EMA_20,EMA_50,SMA_9,SMA_20,SMA_50,RSI,MACD
2018-01-01 18:30:00+00:00,567.0,568.6,556.35,559.5,-1.06,-1.13,6292268.0,559.5,559.5,559.5,,,,,0.0
2018-01-02 18:30:00+00:00,561.3,565.45,555.75,560.45,0.17,0.1,3990149.0,559.69,559.5904761904762,559.5372549019609,,,,,0.07578347578350986
2018-01-03 18:30:00+00:00,564.85,565.0,558.0,559.9,-0.1,-0.16,2766664.0,559.7320000000001,559.6199546485261,559.5514801999233,,,,,0.09041972061913839
2018-01-04 18:30:00+00:00,561.05,566.0,556.7,563.25,0.6,0.53,3249056.0,560.4356000000001,559.9656732534283,559.6965201920832,,,,,0.3680929070787897
2018-01-07 18:30:00+00:00,565.8,568.0,562.45,565.45,0.39,0.33,3770339.0,561.4384800000001,560.4879900864352,559.9221468512171,,,,,0.7569469089252152
2018-01-08 18:30:00+00:00,564.0,573.0,563.0,565.3,-0.03,-0.09,4607504.0,562.2107840000001,560.9462767448699,560.1330430531301,,,,,1.041012615113459
2018-01-09 18:30:00+00:00,566.15,566.7,560.45,562.8,-0.44,-0.51,2411625.0,562.3286272,561.1228218167871,560.2376296000663,,,,,1.05227762577249
2018-01-10 18:30:00+00:00,562.0,563.15,553.55,558.75,-0.72,-0.78,2825941.0,561.6129017600001,560.8968387866169,560.1792911843773,,,,,0.7260347979323569
2018-01-11 18:30:00+00:00,560.2,563.4,552.5,555.1,-0.65,-0.72,6013121.0,560.3103214080002,560.3447589021771,559.9801032947939,561.1666666666666,,,,0.1709894507878289
2018-01-14 18:30:00+00:00,556.7,564.45,556.4,560.55,0.98,0.92,3943472.0,560.3582571264002,560.3643056733983,560.0024521851942,561.2833333333333,,,,0.16893409959720884
2018-01-15 18:30:00+00:00,562.95,566.9,555.8,563.2,0.47,0.41,5993564.0,560.9266057011201,560.6343717997414,560.1278462171474,561.588888888889,,,,0.37679461818459004
2018-01-16 18:30:00+00:00,564.05,589.3,561.0,585.2,3.91,3.84,8453944.0,565.7812845608962,562.9739554378613,561.111067934122,564.4,,,,2.290340100061485
2018-01-17 18:30:00+00:00,596.0,597.15,578.6,584.8,-0.07,-0.13,9466991.0,569.585027648717,565.0526263485411,562.0400456621957,566.7944444444444,,,,3.7315470719015593
2018-01-18 18:30:00+00:00,584.9,594.0,581.2,590.25,0.93,0.87,3897048.0,573.7180221189735,567.4523762201086,563.1463183813253,569.55,,,,5.252930915116622
2018-01-21 18:30:00+00:00,595.95,621.75,583.15,611.55,3.61,3.54,21790443.0,581.2844176951788,571.6521499134316,565.0445019742145,574.6888888888889,,,88.581685164143,8.08418115222105
2018-01-22 18:30:00+00:00,616.4,627.6,611.45,620.1,1.4,1.33,14286343.0,589.0475341561431,576.2662308740571,567.2035411124807,581.0555555555555,,,90.1145196068697,10.892321011465583
2018-01-23 18:30:00+00:00,621.9,621.9,606.3,607.95,-1.96,-2.02,6158610.0,592.8280273249145,579.2837326955755,568.8014414610109,586.5222222222224,,,74.75644643746247,11.99907080419041
2018-01-24 18:30:00+00:00,610.0,619.25,598.6,616.1,1.34,1.28,6749846.0,597.4824218599316,582.7900438674255,570.6562868939124,593.3,,,77.52360831780962,13.379583367673376
2018-01-28 18:30:00+00:00,614.55,620.9,603.65,605.55,-1.71,-1.78,7017160.0,599.0959374879453,584.9576587371945,572.0246678000334,598.3,,,67.24727258315065,13.46711220381917
2018-01-29 18:30:00+00:00,605.6,607.45,592.45,593.75,-1.95,-2.01,6447963.0,598.0267499903563,585.7950245717474,572.8766416117968,601.6944444444445,579.475,,57.98837140664296,12.440907021838484
2018-01-30 18:30:00+00:00,589.3,596.0,587.15,593.6,-0.03,-0.09,7108060.0,597.1413999922851,586.5383555649142,573.6893223329027,602.6277777777779,581.1800000000001,,57.87927717001481,11.483157582715876
2018-01-31 18:30:00+00:00,593.6,610.0,586.1,592.8,-0.13,-0.2,7839731.0,596.273119993828,587.13470265397,574.4387606727889,603.5166666666667,582.7974999999999,,57.260549105161594,10.538104232033334
2018-02-01 18:30:00+00:00,587.8,587.8,561.3,564.9,-4.71,-4.77,6185174.0,589.9984959950624,585.0171119250203,574.0646916267972,600.7,583.0474999999999,,40.85688497427344,7.45194443611922
2018-02-04 18:30:00+00:00,551.1,568.65,547.5,566.25,0.24,0.17,9318595.0,585.2487967960499,583.2297679321613,573.7582331316287,595.6666666666666,583.1975,,41.72678350836224,5.0567828360597105
2018-02-05 18:30:00+00:00,543.0,577.05,534.0,563.7,-0.45,-0.52,13938327.0,580.93903743684,581.3697900338602,573.3637926166629,589.4000000000001,583.11,,40.51460356690845,2.919185766656369
2018-02-06 18:30:00+00:00,568.0,574.65,556.0,559.35,-0.77,-0.84,7679830.0,576.621229949472,579.2726671734927,572.8142321218918,584.0,582.8125,,38.46194288704389,0.86415460667763
2018-02-07 18:30:00+00:00,562.8,576.9,559.7,568.45,1.63,1.56,5816886.0,574.9869839595776,578.2419369664934,572.6430857641706,578.7055555555556,583.095,,44.76637451407624,-0.029834531273536413
2018-02-08 18:30:00+00:00,559.9,561.95,550.4,557.55,-1.92,-1.98,5865587.0,571.4995871676622,576.2712763030179,572.0512000479287,573.3722222222223,583.0350000000001,,39.54097690331089,-1.5994290464059304
2018-02-11 18:30:00+00:00,563.7,568.0,560.35,564.2,1.19,1.13,4765319.0,570.0396697341298,575.1216309408258,571.7433098499707,570.088888888889,583.49,,43.84740389824532,-2.2804568967642354
2018-02-13 18:30:00+00:00,565.0,565.85,540.1,543.9,-3.6,-3.66,6478108.0,564.8117357873039,572.1481422797947,570.6514153460504,564.5666666666666,582.6575,,35.528099485165185,-4.407410831982247
2018-02-14 18:30:00+00:00,534.75,554.8,531.35,543.7,-0.04,-0.1,11593643.0,560.5893886298431,569.4387953960047,569.5944970971857,559.1111111111111,581.6825,,35.45672214565488,-6.039555244680287
2018-02-15 18:30:00+00:00,547.05,548.6,535.0,537.85,-1.08,-1.14,3910503.0,556.0415109038746,566.4303386916233,568.3496148580804,556.1055555555555,579.3149999999999,,33.346403963782706,-7.716140693436046
