Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,EMA_9,EMA_20,EMA_50,SMA_9,SMA_20,SMA_50,RSI,MACD
2018-01-01 18:30:00+00:00,274.4,274.4,268.1,271.9,0.28,0.17,4546324.0,271.9,271.9,271.9,,,,,0.0
2018-01-02 18:30:00+00:00,273.4,279.35,273.1,276.5,1.69,1.59,7285874.0,272.82,272.3380952380952,272.0803921568628,,,,,0.3669515669515704
2018-01-03 18:30:00+00:00,277.1,281.3,274.8,279.8,1.19,1.09,10346774.0,274.216,273.0487528344671,272.3831218762015,,,,,0.9135153123756936
2018-01-04 18:30:00+00:00,282.0,284.0,275.1,276.4,-1.22,-1.32,7084973.0,274.6528,273.36791923118454,272.54064650850734,,,,,1.060099268906015
2018-01-07 18:30:00+00:00,277.0,279.05,273.7,276.15,-0.09,-0.19,4157464.0,274.95224,273.63287930440504,272.6821897826835,,,,,1.1429203258011853
2018-01-08 18:30:00+00:00,277.55,277.55,270.65,271.5,-1.68,-1.79,5197857.0,274.261792,273.4297479420807,272.6358293990489,,,,,0.8238437142427415
2018-01-09 18:30:00+00:00,272.8,276.5,266.6,268.8,-0.99,-1.1,7472579.0,273.16943360000005,272.98881956664445,272.4854047167333,,,,,0.3490817682724696
2018-01-10 18:30:00+00:00,268.8,271.15,266.8,267.75,-0.39,-0.49,6502699.0,272.08554688000004,272.4898843698212,272.29970257097904,,,,,-0.1106215428811197
2018-01-11 18:30:00+00:00,269.0,271.6,266.65,268.85,0.41,0.31,4435500.0,271.43843750400004,272.1432287155525,272.1644201172152,273.07222222222225,,,,-0.381778022641015
2018-01-14 18:30:00+00:00,270.2,274.65,265.8,266.7,-0.8,-0.9,6592272.0,270.49075000320005,271.62482598073797,271.9501291322263,272.4944444444444,,,,-0.7613817828785727
2018-01-15 18:30:00+00:00,267.8,268.0,259.7,260.55,-2.31,-2.41,8447591.0,268.50260000256003,270.5700806492391,271.50306524468806,270.72222222222223,,,,-1.5407137114649458
2018-01-16 18:30:00+00:00,260.3,265.25,256.45,262.75,0.84,0.74,11037340.0,267.352080002048,269.8253110635973,271.15980778411205,268.8277777777778,,,,-1.9582448382894313
2018-01-17 18:30:00+00:00,263.7,263.7,252.1,253.9,-3.37,-3.47,11341249.0,264.6616640016384,268.30861477182617,270.48295257689193,266.3277777777778,,,,-2.969037090493373
2018-01-18 18:30:00+00:00,254.0,259.35,252.2,258.0,1.61,1.51,5898314.0,263.32933120131077,267.32684193641416,269.99342502485695,264.31111111111113,,,,-3.400067634636116
2018-01-21 18:30:00+00:00,258.0,258.8,251.1,255.1,-1.12,-1.23,6230212.0,261.6834649610486,266.16238079961283,269.4093691415292,262.4888888888889,,,29.236805294857106,-3.930361449737859
2018-01-22 18:30:00+00:00,256.1,270.7,256.1,264.95,3.86,3.76,17400430.0,262.3367719688389,266.0469159615545,269.2344919202928,262.06111111111113,,,46.812657815592,-3.515288382370443
2018-01-23 18:30:00+00:00,263.55,264.4,256.8,258.7,-2.36,-2.46,6409442.0,261.6094175750711,265.34720967950165,268.8213745900852,261.05555555555554,,,40.0203371407095,-3.648603917824744
2018-01-24 18:30:00+00:00,259.3,266.85,256.4,258.95,0.1,-0.01,15254979.0,261.0775340600569,264.7379516147872,268.4342618610622,259.9555555555555,,,40.392898288128,-3.6915308596442173
2018-01-28 18:30:00+00:00,261.6,263.9,253.4,258.6,-0.14,-0.24,5990929.0,260.58202724804556,264.15338479433126,268.0486045331774,259.05555555555554,,,40.01812981450045,-3.7110145791934315
2018-01-29 18:30:00+00:00,257.75,258.0,252.55,253.55,-1.95,-2.06,5286436.0,259.1756217984365,263.14353862344257,267.48003180638614,258.27777777777777,265.46999999999997,,34.975775048687765,-4.086837840046087
2018-01-30 18:30:00+00:00,253.4,263.2,252.0,256.15,1.03,0.92,17514495.0,258.5704974387492,262.4774873259719,267.0357168335867,257.5444444444444,264.6825,,39.2218781768393,-4.127305205784808
2018-01-31 18:30:00+00:00,257.8,259.5,248.75,256.25,0.04,-0.06,8940788.0,258.1063979509994,261.88439329492695,266.6127475459951,257.8055555555555,263.67,,39.38582420255332,-4.103998381724978
2018-02-01 18:30:00+00:00,256.45,261.65,245.75,249.85,-2.5,-2.6,21737420.0,256.45511836079953,260.738260600172,265.95538489713255,256.90000000000003,262.1725,,33.211292163953686,-4.549510147698356
2018-02-04 18:30:00+00:00,242.5,249.4,240.25,246.6,-1.3,-1.4,8462501.0,254.48409468863963,259.3917595906318,265.1963501952842,255.95555555555555,260.6825,,30.58879765606312,-5.105970817361822
2018-02-05 18:30:00+00:00,236.0,248.5,232.5,244.4,-0.89,-1.0,10473645.0,252.4672757509117,257.9639729629526,264.3808070503711,253.67222222222225,259.09499999999997,,28.92381979021792,-5.65925515037614
2018-02-06 18:30:00+00:00,245.0,253.0,244.1,246.0,0.65,0.55,13707458.0,251.17382060072936,256.8245469664809,263.65999108761144,252.2611111111111,257.82,,31.829992272023105,-5.900611762847404
2018-02-07 18:30:00+00:00,245.6,249.35,240.5,245.2,-0.33,-0.43,10180978.0,249.9790564805835,255.71744725538747,262.9360698684894,250.73333333333332,256.64,,31.144297971115606,-6.0862830488252655
2018-02-08 18:30:00+00:00,240.0,245.5,237.35,243.5,-0.69,-0.8,7024965.0,248.68324518446678,254.55388085011248,262.17387105011727,249.05555555555554,255.42749999999995,,29.681053357460854,-6.2980051897044405
2018-02-11 18:30:00+00:00,247.0,247.65,242.0,243.25,-0.1,-0.21,5557349.0,247.59659614757345,253.47732076914937,261.4317584599166,247.9111111111111,254.14749999999998,,29.461836486829682,-6.412055240937917
2018-02-13 18:30:00+00:00,246.3,246.55,241.75,243.25,0.0,-0.1,7121280.0,246.72727691805878,252.50329021970657,260.7187483242336,246.47777777777776,252.97499999999997,,29.461836486829682,-6.42833883958599
2018-02-14 18:30:00+00:00,245.5,254.25,244.0,251.5,3.39,3.29,10053559.0,247.68182153444704,252.40773877021073,260.3572287821068,245.94999999999996,252.52249999999998,,45.00672340916301,-5.709719564001574
2018-02-15 18:30:00+00:00,255.5,256.95,246.4,247.65,-1.53,-1.63,7629453.0,247.67545722755764,251.95462079209543,259.8589060847693,245.70555555555555,251.7675,,40.51911610652818,-5.388753241945409
2018-02-18 18:30:00+00:00,248.1,250.5,242.6,247.55,-0.04,-0.14,6056718.0,247.65036578204615,251.53513309761016,259.3762038853666,245.81111111111113,251.45,,40.40641925859518,-5.083850815924791
2018-02-19 18:30:00+00:00,247.8,252.4,246.8,248.8,0.5,0.4,4778807.0,247.8802926256369,251.2746442311711,258.9614507918228,246.29999999999998,250.98999999999995,,42.55713300155564,-4.687316427265614
2018-02-20 18:30:00+00:00,250.5,250.8,238.75,240.65,-3.28,-3.38,11901519.0,246.43423410050954,250.26277335201195,258.2433546823396,245.70555555555555,250.2675,,33.95321422749048,-4.973367075156403
