Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,EMA_9,EMA_20,EMA_50,SMA_9,SMA_20,SMA_50,RSI,MACD
2018-01-01 18:30:00+00:00,170.5,170.9,165.4,166.4,-1.97,-1.89,13729132.0,166.4,166.4,166.4,,,,,0.0
2018-01-02 18:30:00+00:00,168.0,169.3,166.2,166.6,0.12,0.2,8534233.0,166.44,166.41904761904763,166.4078431372549,,,,,0.015954415954439582
2018-01-03 18:30:00+00:00,167.35,179.7,165.4,176.45,5.91,5.99,31613344.0,168.442,167.37437641723358,166.80165321030373,,,,,0.8140274835431569
2018-01-04 18:30:00+00:00,180.4,180.5,175.4,176.0,-0.26,-0.17,15500426.0,169.9536,168.19586437749703,167.1623726922526,,,,,1.3941243030666044
2018-01-07 18:30:00+00:00,177.05,178.15,175.1,175.7,-0.17,-0.09,7302294.0,171.10288000000003,168.91054396059255,167.4971816062819,,,,,1.8087970328577114
2018-01-08 18:30:00+00:00,175.3,177.9,174.05,174.65,-0.6,-0.52,11152776.0,171.81230400000004,169.4571588214885,167.7776842883885,,,,,2.029309319356628
2018-01-09 18:30:00+00:00,174.45,174.9,170.0,170.65,-2.29,-2.21,9021131.0,171.57984320000003,169.5707627432515,167.8903241202164,,,,,1.859861004569666
2018-01-10 18:30:00+00:00,170.3,173.6,169.55,172.75,1.23,1.31,8683986.0,171.81387456000004,169.87354724389422,168.0808996449138,,,,,1.8734287237015792
2018-01-11 18:30:00+00:00,173.5,174.9,171.45,174.2,0.84,0.92,11223630.0,172.29109964800006,170.28559036352334,168.32086436472113,172.60000000000002,,,,1.9783786036630602
2018-01-14 18:30:00+00:00,174.95,175.85,171.85,172.15,-1.18,-1.1,7104648.0,172.26287971840006,170.4631531860449,168.47102654649677,173.23888888888888,,,,1.874525904445818
2018-01-15 18:30:00+00:00,172.25,172.95,165.1,165.55,-3.83,-3.75,11916843.0,170.92030377472005,169.99523383499303,168.35647648584984,173.1222222222222,,,,1.2453019844955975
2018-01-16 18:30:00+00:00,165.5,177.0,162.65,175.55,6.04,6.12,25299752.0,171.84624301977607,170.5242591840413,168.63857544718906,173.02222222222224,,,,1.5358496029449213
2018-01-17 18:30:00+00:00,180.7,182.75,168.65,170.5,-2.88,-2.8,32923946.0,171.57699441582085,170.5219487855612,168.71157248847575,172.41111111111113,,,,1.34313506351981
2018-01-18 18:30:00+00:00,170.8,178.0,169.35,176.4,3.46,3.54,21519974.0,172.5415955326567,171.08176318693634,169.013079449712,172.48888888888888,,,,1.647496776921571
2018-01-21 18:30:00+00:00,176.1,177.3,172.2,176.0,-0.23,-0.15,11370450.0,173.23327642612537,171.5501666929424,169.287076334037,172.63888888888889,,,58.27561471426811,1.835273084835535
2018-01-22 18:30:00+00:00,176.05,187.8,175.25,185.8,5.57,5.65,28176767.0,175.7466211409003,172.90729367456694,169.93464196799636,174.32222222222222,,,68.16870270393329,2.7432428635733856
