Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,EMA_9,EMA_20,EMA_50,SMA_9,SMA_20,SMA_50,RSI,MACD
2018-01-01 18:30:00+00:00,119.44,119.81,117.15,118.24,-0.47,-0.47,4650712.0,118.24,118.24,118.24,,,,,0.0
2018-01-02 18:30:00+00:00,118.5,119.44,117.94,118.39,0.13,0.13,3457506.0,118.27,118.25428571428571,118.24588235294117,,,,,0.01196581196579416
2018-01-03 18:30:00+00:00,118.61,121.88,117.98,121.46,2.59,2.59,6112744.0,118.908,118.5595918367347,118.3719261822376,,,,,0.26610465824140306
2018-01-04 18:30:00+00:00,122.17,123.11,120.9,121.09,-0.3,-0.3,5400301.0,119.34440000000001,118.800583090379,118.47851731234593,,,,,0.4326680887052845
2018-01-07 18:30:00+00:00,121.42,123.23,121.05,122.96,1.54,1.54,4920313.0,120.06752000000002,119.19671803415243,118.65426173146963,,,,,0.7074096015906122
2018-01-08 18:30:00+00:00,123.38,124.01,121.54,122.55,-0.33,-0.33,4572961.0,120.56401600000002,119.516078221376,118.80703578121593,,,,,0.8818947230638372
2018-01-09 18:30:00+00:00,122.33,123.45,121.01,121.76,-0.64,-0.64,4455988.0,120.80321280000003,119.72978505743544,118.92283829959963,,,,,0.9455295649808733
2018-01-10 18:30:00+00:00,121.35,123.11,120.45,121.76,0.0,0.0,4991332.0,120.99457024000003,119.9231388614892,119.0340995427526,,,,,0.9846106569104052
2018-01-11 18:30:00+00:00,122.4,122.92,119.89,121.01,-0.62,-0.62,4697282.0,120.99765619200002,120.02664944610927,119.11158583519368,121.02444444444444,,,,0.9441800519331451
2018-01-14 18:30:00+00:00,121.24,122.02,120.0,120.23,-0.64,-0.64,3387581.0,120.84412495360003,120.04601616552745,119.1554452142057,121.24555555555555,,,,0.8395215431682459
2018-01-15 18:30:00+00:00,120.3,120.98,115.16,115.46,-3.97,-3.97,6141228.0,119.76729996288003,119.6092527211915,119.01052579404077,120.92,,,,0.367444118430285
2018-01-16 18:30:00+00:00,115.5,116.92,113.51,116.59,0.98,0.98,5100510.0,119.13183997030403,119.32170484298277,118.91560321388232,120.37888888888887,,,,0.08353794100389678
2018-01-17 18:30:00+00:00,117.38,117.64,113.25,114.71,-1.61,-1.61,5648338.0,118.24747197624322,118.88249485793679,118.75067759765165,119.67,,,,-0.2898191830880279
2018-01-18 18:30:00+00:00,114.83,118.8,114.67,117.34,2.29,2.29,7013705.0,118.06597758099458,118.73559058575233,118.69535690754768,119.04555555555557,,,,-0.3692320958884068
2018-01-21 18:30:00+00:00,117.08,117.3,115.73,116.74,-0.51,-0.51,3200753.0,117.80078206479567,118.5455343394902,118.61867624450659,118.40000000000002,,,42.24403048536884,-0.4751056646535119
2018-01-22 18:30:00+00:00,117.83,118.5,116.77,118.31,1.34,1.34,4853748.0,117.90262565183654,118.523102497634,118.60657129374162,118.01666666666668,,,48.822047124997134,-0.42739856708026025
2018-01-23 18:30:00+00:00,117.79,120.52,117.52,120.19,1.59,1.59,5895336.0,118.36010052146923,118.68185464071647,118.66866653712431,117.84222222222222,,,55.37608095177943,-0.23517906251909437
2018-01-24 18:30:00+00:00,120.0,120.67,117.79,118.39,-1.5,-1.5,16834122.0,118.3660804171754,118.65405896064823,118.65773843762923,117.55111111111111,,,48.91681350995962,-0.22548937589688478
2018-01-28 18:30:00+00:00,119.17,119.44,117.38,118.2,-0.16,-0.16,2275185.0,118.33286433374032,118.61081525011029,118.63978791066339,117.32555555555554,,,48.27668921893806,-0.2304847567382211
2018-01-29 18:30:00+00:00,117.75,118.76,116.7,117.6,-0.51,-0.51,2831006.0,118.18629146699226,118.51454713105217,118.59901191416678,117.56333333333333,119.149,,46.21977441800406,-0.2796351576054832
2018-01-30 18:30:00+00:00,117.0,118.16,114.83,116.63,-0.82,-0.83,4392853.0,117.8750331735938,118.33506645190434,118.52179576067005,117.56777777777776,119.06850000000001,,43.02797973406781,-0.39233549836923487
2018-01-31 18:30:00+00:00,116.85,119.02,114.0,115.09,-1.32,-1.32,8129204.0,117.31802653887505,118.02601250410392,118.38721553476142,117.61,118.90349999999998,,38.48414396382156,-0.5990114291856372
2018-02-01 18:30:00+00:00,114.0,114.45,108.75,109.05,-5.25,-5.25,9701566.0,115.66442123110005,117.17115417037974,118.02105021967274,116.6888888888889,118.28299999999999,,26.613494597857013,-1.2359340367576408
2018-02-04 18:30:00+00:00,108.0,112.09,106.76,110.77,1.58,1.58,5152741.0,114.68553698488004,116.56152043986738,117.73669530909734,116.02555555555556,117.76700000000001,,32.955571864740705,-1.5836547801629592
2018-02-05 18:30:00+00:00,106.5,109.27,105.15,108.41,-2.13,-2.13,6106708.0,113.43042958790404,115.78518515988,117.37094255187785,114.92555555555555,117.0395,,29.223760668950916,-2.0263003223732454
2018-02-06 18:30:00+00:00,109.5,112.61,108.71,111.79,3.12,3.12,10892438.0,113.10234367032325,115.40469133512951,117.15208205964736,113.99222222222222,116.5015,,39.74719430467585,-2.0803810141633647
2018-02-07 18:30:00+00:00,112.5,114.0,111.34,112.91,1.0,1.0,5590620.0,113.0638749362586,115.16710168416479,116.9857259004455,113.38333333333334,116.05900000000001,,42.783047138693185,-2.00969915144438
2018-02-08 18:30:00+00:00,111.75,113.7,110.89,112.46,-0.4,-0.4,4079981.0,112.94309994900689,114.90928247614909,116.80824645336921,112.74555555555555,115.59400000000001,,41.870221411052825,-1.9673165051381147
2018-02-11 18:30:00+00:00,113.44,116.36,113.44,115.54,2.74,2.74,5710282.0,113.46247995920552,114.96935081175394,116.75851129833512,112.51666666666667,115.32050000000001,,49.76980044548018,-1.6659931611074228
2018-02-13 18:30:00+00:00,117.19,117.75,115.09,116.06,0.45,0.45,6578830.0,113.98198396736443,115.07322216301546,116.73111869840041,112.45333333333332,115.11200000000001,,50.98097641752658,-1.3694464595322842
2018-02-14 18:30:00+00:00,110.92,110.96,106.88,107.44,-7.43,-7.43,8618821.0,112.67358717389155,114.34624862368065,116.36676110238471,111.60333333333334,114.71100000000001,,35.63961373883717,-1.8091384003548256
2018-02-15 18:30:00+00:00,108.08,108.41,105.0,105.9,-1.43,-1.43,6194068.0,111.31886973911325,113.54184399285393,115.95629988268335,111.25333333333333,114.1765,,33.68912410686028,-2.2558584292003587
2018-02-18 18:30:00+00:00,106.42,107.48,103.58,105.11,-0.75,-0.75,4744625.0,110.07709579129062,112.73881123162974,115.5309547892448,110.62444444444445,113.69649999999999,,32.70044496113053,-2.643164908447403
2018-02-19 18:30:00+00:00,105.52,105.9,102.86,103.99,-1.07,-1.07,4368033.0,108.8596766330325,111.90559111433167,115.07836832692148,110.13333333333334,113.029,,31.29808645068414,-3.00583334764724
2018-02-20 18:30:00+00:00,104.55,104.85,102.83,103.31,-0.65,-0.65,3108256.0,107.74974130642602,111.08696338915723,114.61686368665005,109.1911111111111,112.3575,,30.444419127311903,-3.3099657903519955
2018-02-21 18:30:00+00:00,103.16,104.21,102.0,102.49,-0.79,-0.79,7840817.0,106.69779304514083,110.26820497114225,114.14130040482064,108.03333333333333,111.56649999999999,,29.402938419842272,-3.5759388917263806
2018-02-22 18:30:00+00:00,102.75,105.38,102.75,105.23,2.67,2.67,3326860.0,106.40423443611267,109.78837592627157,113.79183764384729,107.22999999999999,110.8185,,37.14100344525709,-3.5249954367720875
2018-02-25 18:30:00+00:00,106.46,111.67,105.75,109.88,4.42,4.42,13196529.0,107.09938754889015,109.79710202853141,113.63843224604936,106.60111111111111,110.393,,47.631639104778266,-3.07397141438031
2018-02-26 18:30:00+00:00,110.1,111.0,108.41,109.01,-0.79,-0.79,12937192.0,107.48151003911214,109.72213993057605,113.45692509914548,105.81777777777778,109.93350000000001,,46.08204799771374,-2.754975711202917
2018-02-27 18:30:00+00:00,108.75,109.24,107.02,108.23,-0.72,-0.72,5727574.0,107.63120803128972,109.58003136575928,113.25194764427704,105.90555555555555,109.465,,44.678647457327074,-2.5358767903522335
2018-02-28 18:30:00+00:00,107.85,108.49,106.35,106.61,-1.5,-1.5,7481140.0,107.42696642503178,109.29717123568697,112.99147910920736,105.98444444444445,108.96399999999998,,41.829360514689554,-2.4645499801090693
2018-03-04 18:30:00+00:00,105.71,106.2,104.06,105.15,-1.37,-1.37,3049950.0,106.97157314002543,108.90220254657393,112.68397012453256,105.98888888888888,108.46700000000001,,39.391223195445676,-2.4970483483788684
2018-03-05 18:30:00+00:00,105.75,107.44,103.5,104.17,-0.93,-0.93,5488921.0,106.41125851202035,108.45151658975738,112.35008894317835,106.00888888888889,108.223,,37.79860873356218,-2.5722302796628327
2018-03-06 18:30:00+00:00,104.25,104.25,101.33,101.74,-2.33,-2.33,4180820.0,105.47700680961628,107.81232453359,111.93400702383802,105.83444444444444,107.77149999999999,,34.11539842806168,-2.7956664904447166
2018-03-07 18:30:00+00:00,101.25,101.36,92.93,94.27,-7.34,-7.34,15407657.0,103.23560544769303,106.52257933991476,111.24130086604046,104.92111111111112,107.0645,,25.794404286973162,-3.534761339456793
2018-03-08 18:30:00+00:00,94.09,97.13,94.09,96.11,1.95,1.95,7960186.0,101.81048435815444,105.53090511706573,110.6479165183526,103.90777777777778,106.2805,,30.303774892332626,-3.9267614480621944
2018-03-11 18:30:00+00:00,97.39,97.39,92.48,94.84,-1.32,-1.32,5853436.0,100.41638748652356,104.51272367734518,110.02799822351525,102.23666666666666,105.377,,28.994111582649865,-4.290445163373391
2018-03-12 18:30:00+00:00,94.5,99.0,94.13,97.69,3.01,3.0,6034776.0,99.87110998921885,103.86294046997897,109.54415515592642,100.97888888888889,104.6385,,35.709001858079404,-4.299138157838044
2018-03-13 18:30:00+00:00,96.04,97.09,94.61,95.85,-1.88,-1.88,5431686.0,99.06688799137508,103.09980328236193,109.00712946353715,99.60333333333334,103.654,,33.505952774587826,-4.403736507827844
2018-03-14 18:30:00+00:00,96.3,97.88,95.74,96.71,0.9,0.9,4448512.0,98.59551039310007,102.49125058880365,108.52488909241806,98.50333333333333,102.6865,111.3084,35.508640813256406,-4.366897762004157
2018-03-15 18:30:00+00:00,96.67,99.0,95.44,96.38,-0.34,-0.34,7622806.0,98.15240831448006,101.9092267232033,108.04861893193109,97.52888888888889,102.1335,110.8712,35.07213214020665,-4.314595066421461
2018-03-18 18:30:00+00:00,96.75,96.9,91.16,93.56,-2.93,-2.93,10541321.0,97.23392665158406,101.11406227337442,107.48043779734556,96.35,101.5165,110.37459999999999,31.507662906211976,-4.449405261433043
2018-03-19 18:30:00+00:00,92.63,95.85,92.63,95.32,1.88,1.88,7059149.0,96.85114132126725,100.56224681876733,107.00355788372417,95.63666666666667,101.027,109.8518,35.88717621102428,-4.363921451126657
2018-03-20 18:30:00+00:00,96.52,98.17,95.89,97.58,2.37,2.37,5425382.0,96.99691305701381,100.27822331221807,106.63400659416637,96.00444444444445,100.7065,109.38159999999999,41.09566327005018,-4.0669307569991275
2018-03-21 18:30:00+00:00,98.14,98.14,94.61,94.8,-2.85,-2.85,5204326.0,96.55753044561106,99.75648775867349,106.16992790419906,95.85888888888888,100.28099999999999,108.8184,37.1027172347775,-4.009665332745371
2018-03-22 18:30:00+00:00,93.75,93.75,91.5,92.59,-2.33,-2.33,6804442.0,95.76402435648886,99.0739651149903,105.63738171187752,95.60888888888888,99.78599999999999,108.2192,34.25344549482959,-4.095401364082235
2018-03-25 18:30:00+00:00,92.59,94.35,90.56,94.01,1.53,1.53,9736621.0,95.41321948519109,98.59168272308646,105.18140595847056,95.19999999999999,99.225,107.6642,37.57083476768986,-4.002625874513299
2018-03-26 18:30:00+00:00,94.69,96.08,94.5,95.21,1.28,1.28,16614856.0,95.37257558815288,98.26961770184013,104.7903704306874,95.1288888888889,98.4915,107.1332,40.31171539074571,-3.788598059329516
2018-03-27 18:30:00+00:00,95.18,95.18,93.04,93.52,-1.78,-1.78,8254573.0,95.00206047052231,97.81727315880774,104.34839511968006,94.77444444444444,97.717,106.5834,37.795038144005815,-3.712552357298577
2018-04-01 18:30:00+00:00,94.84,96.9,93.98,96.04,2.69,2.69,2980950.0,95.20964837641785,97.64800904844509,104.02257570322202,94.73666666666666,97.1075,106.09960000000001,43.46300716637605,-3.409638461322203
2018-04-02 18:30:00+00:00,96.0,96.38,93.75,95.81,-0.24,-0.24,6776034.0,95.32971870113428,97.4729605676408,103.7005139109388,94.98666666666666,96.5675,105.7066,43.0772074005608,-3.1518040589325125
2018-04-03 18:30:00+00:00,96.0,97.46,95.29,95.93,0.13,0.12,8503092.0,95.44977496090743,97.3260119421512,103.39578787521572,95.05444444444444,96.10650000000001,105.2934,43.35969919202412,-2.9043064039669844
2018-04-04 18:30:00+00:00,96.75,98.33,96.08,97.69,1.83,1.83,4549726.0,95.89781996872594,97.36067747147013,103.17203148795235,95.06666666666666,95.7825,104.95299999999999,47.476759708453,-2.5369016155584774
2018-04-05 18:30:00+00:00,97.99,99.38,97.31,98.89,1.23,1.23,3500761.0,96.49625597498076,97.50632723609202,103.00410868450324,95.52111111111111,95.64,104.584,50.13800328926012,-2.124411805659406
2018-04-08 18:30:00+00:00,98.89,99.23,97.61,98.4,-0.5,-0.5,3161714.0,96.87700477998462,97.59143892789278,102.82355540275802,96.16666666666667,95.84649999999999,104.21719999999999,49.04523162987947,-1.8161145266141574
