Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,EMA_9,EMA_20,EMA_50,SMA_9,SMA_20,SMA_50,RSI,MACD
2018-01-01 18:30:00+00:00,428.85,440.85,422.0,439.3,3.5,3.46,15331261.0,439.3,439.3,439.3,,,,,0.0
2018-01-02 18:30:00+00:00,440.4,441.4,431.95,433.9,-1.23,-1.27,9794953.0,438.22,438.7857142857143,439.0882352941177,,,,,-0.43076923076927187
2018-01-03 18:30:00+00:00,430.0,433.3,425.75,429.95,-0.91,-0.95,8395377.0,436.56600000000003,437.9442176870748,438.7298731257209,,,,,-1.0784571553802493
2018-01-04 18:30:00+00:00,431.25,436.35,429.8,431.6,0.38,0.34,7021611.0,435.57280000000003,437.34000647878196,438.45027025804563,,,,,-1.441990917905855
2018-01-07 18:30:00+00:00,432.0,436.2,431.65,433.55,0.45,0.41,4635214.0,435.1682400000001,436.9790534808027,438.2581027969458,,,,,-1.5548223168316326
2018-01-08 18:30:00+00:00,434.25,443.5,433.0,437.55,0.92,0.88,12629045.0,435.6445920000001,437.0334293397739,438.23033405981073,,,,,-1.3064158935758883
2018-01-09 18:30:00+00:00,438.0,439.3,431.3,433.3,-0.97,-1.01,4702579.0,435.17567360000015,436.67786464074777,438.0369876260927,,,,,-1.4359388851154335
2018-01-10 18:30:00+00:00,433.5,437.6,432.9,434.75,0.33,0.29,4565005.0,435.0905388800001,436.4942584844861,437.90808615055965,,,,,-1.4053835208216583
2018-01-11 18:30:00+00:00,437.0,441.45,432.1,437.1,0.54,0.5,7408870.0,435.4924311040001,436.5519481526303,437.87639649759655,434.55555555555554,,,,-1.1779639787588394
2018-01-14 18:30:00+00:00,438.05,440.05,431.05,432.35,-1.09,-1.13,4042775.0,434.86394488320013,436.15176261428456,437.65967506631824,433.7833333333333,,,,-1.3652795628548802
2018-01-15 18:30:00+00:00,433.0,435.2,419.5,421.9,-2.42,-2.46,5623745.0,432.2711559065601,434.7944518891146,437.0416485931293,432.45000000000005,,,,-2.3300962790228823
2018-01-16 18:30:00+00:00,422.05,424.5,410.1,422.95,0.25,0.21,10204447.0,430.40692472524813,433.66640885205607,436.4890349228105,431.6722222222222,,,,-2.9756923241229174
2018-01-17 18:30:00+00:00,424.0,428.3,414.45,418.95,-0.95,-0.99,9579830.0,428.11553978019856,432.2648461042412,435.80122963171993,430.26666666666665,,,,-3.7666784868181935
2018-01-18 18:30:00+00:00,415.2,421.95,415.05,418.05,-0.21,-0.26,3894062.0,426.1024318241589,430.91105123717057,435.1051029794956,428.5444444444444,,,,-4.4152667511882555
2018-01-21 18:30:00+00:00,419.05,424.4,418.45,421.9,0.92,0.88,4643782.0,425.26194545932714,430.05285588124957,434.5872558038291,426.80555555555554,,,33.51971921869479,-4.565981012433326
2018-01-22 18:30:00+00:00,422.8,422.8,414.75,418.0,-0.92,-0.96,6185011.0,423.80955636746177,428.9049648449401,433.9367751840711,425.10555555555555,,,29.6455700000525,-4.943139125802702
2018-01-23 18:30:00+00:00,416.0,416.25,402.65,403.6,-3.44,-3.49,10789570.0,419.76764509396946,426.494968193041,432.74709772587227,421.64444444444445,,,20.311065825868326,-6.331019253077272
2018-01-24 18:30:00+00:00,403.45,407.65,398.0,400.3,-0.82,-0.86,16312167.0,415.8741160751756,424.00020931751334,431.4746625209361,417.55555555555554,,,18.846533189920052,-7.609489218855572
2018-01-28 18:30:00+00:00,402.5,405.9,398.1,399.25,-0.26,-0.3,5789602.0,412.54929286014055,421.6430465253692,430.2109502652131,413.8777777777778,,,18.39211260113663,-8.608182334848834
2018-01-29 18:30:00+00:00,400.0,402.3,395.0,395.85,-0.85,-0.89,6963005.0,409.2094342881125,419.18656590390543,428.86346201951847,410.98333333333335,423.20500000000004,,16.965616849885876,-9.563760333591745
2018-01-30 18:30:00+00:00,395.5,400.95,395.25,399.5,0.92,0.88,5111454.0,407.26754743049,417.31165486543824,427.71195370502755,408.37777777777774,421.215,,23.798457010864226,-9.912275741910605
2018-01-31 18:30:00+00:00,399.9,403.8,390.55,393.65,-1.46,-1.5,7259426.0,404.5440379443921,415.0581639258727,426.37619081463436,405.56666666666666,419.20250000000004,,20.838666896236248,-10.539035383848102
2018-02-01 18:30:00+00:00,392.0,397.4,381.3,383.75,-2.51,-2.56,10070356.0,400.38523035551367,412.0764340281705,424.7045754885703,401.7555555555556,416.89250000000004,,16.9881270107216,-11.69972700777231
2018-02-04 18:30:00+00:00,381.0,398.0,380.0,395.8,3.14,3.1,9876017.0,399.468184284411,410.52629745405903,423.57106272431264,398.8555555555556,415.10249999999996,,33.173927024460696,-11.514517003635774
